NumberFrom,NumberTo,OwnerId,RegionCode,MNC,RowCount
9011110000,9011119999,mTELE2,26,20,
9011120000,9011159999,mTELE2,58,20,
9011160000,9011169999,mMTT,77,42,
9011170000,9011239999,mTELE2,70,20,
9011240000,9011249999,mTELE2,44,20,
9011250000,9011269999,mTELE2,70,20,
9011270000,9011279999,mTELE2,43,20,
9011280000,9011289999,mTELE2,70,20,
9011290000,9011299999,mMTT,77,42,
9011300000,9011309999,mTELE2,37,20,
9011310000,9011314999,mTELE2,37,20,
9011315000,9011315099,mTELE2,12,20,
9011315100,9011315199,mTELE2,21,20,
9011315200,9011315299,mTELE2,35,20,
9011315300,9011315399,mTELE2,13,20,
9011315400,9011315499,mTELE2,44,20,
9011315500,9011315599,mTELE2,39,20,
9011315600,9011315699,mTELE2,71,20,
9011315700,9011315799,mTELE2,21,20,
9011315800,9011315899,mTELE2,18,20,
9011315900,9011315999,mTELE2,33,20,
9011316000,9011316099,mTELE2,62,20,
9011316100,9011316199,mTELE2,57,20,
9011316200,9011316299,mTELE2,13,20,
9011316300,9011316399,mTELE2,62,20,
9011319000,9011319999,mMIATEL,56,16,
9011330000,9011339999,mMTT,77,42,
9011340000,9011349999,mTELE2,28,39,
9011350000,9011379999,mTELE2,17,20,
9011380000,9011389999,mTELE2,28,39,
9011390000,9011399999,mMTT,62,42,
9011400000,9011419999,mRTK,36,20,
9011420000,9011429999,mMTT,39,42,
9011430000,9011439999,mMTT,16,42,
9011440000,9011449999,mTELE2,33,20,
9011450000,9011459999,mTELE2,43,20,
9011460000,9011464999,mMTT,75,42,
9011465000,9011469999,mMTT,39,42,
9011470000,9011474999,mTELE2,43,20,
9011480000,9011484999,mMTT,64,42,
9011485000,9011489999,mMTT,62,42,
9011490000,9011499999,mTELE2,67,20,
9011500000,9011509999,mTELE2,67,20,
9011510000,9011519999,mSBERTEL,77,50,
9011520000,9011529999,mMTS,03,01,
9011530000,9011534999,mMTT,16,42,
9011535000,9011539999,mMTT,56,42,
9011540000,9011545999,mTELE2,11,20,
9011546000,9011549999,mTELE2,12,20,
9011550000,9011559999,mMTT,67,42,
9011560000,9011569999,mTELE2,73,20,
9011570000,9011579999,mTELE2,18,20,
9011580000,9011589999,mAPEKS,75,39,
9011590000,9011594999,mMTT,54,42,
9011595000,9011599999,mMTT,25,42,
9011600000,9011603999,mTELE2,13,20,
9011604000,9011609999,mTELE2,42,20,
9011610000,9011619999,mTELE2,36,20,
9011620000,9011629999,mTELE2,16,20,
9011630000,9011639999,mTELE2,18,20,
9011640000,9011641999,mTELE2,19,20,
9011642000,9011643999,mTELE2,17,20,
9011644000,9011651999,mTELE2,21,20,
9011652000,9011659999,mTELE2,22,20,
9011660000,9011669999,mTELE2,25,20,
